Place,Name,Rating,Reviews,Address,Zip Code,Phone,Website
New York city,Carbone New York,4.3,"2,434","181 Thompson St, New York, NY 10012, United States",10012,,https://www.carbonenewyork.com/
New York city,Duomo51,4.6,"1,305","25 W 51st St 7th floor, New York, NY 10019, United States",10019,+1 646-398-8098,http://www.duomo51.com/
New York city,COTE Korean Steakhouse,4.6,"3,804","16 W 22nd St, New York, NY 10010, United States",10010,+1 212-401-7886,https://www.cotekoreansteakhouse.com/
New York city,Via Carota,4.4,"3,053","51 Grove St, New York, NY 10014, United States",10014,,http://viacarota.com/
New York city,Hawksmoor NYC,4.4,"1,557","109 E 22nd St, New York, NY 10010, United States",10010,+1 212-777-1840,https://hawksmoornyc.com/
New York city,Felice 56,4.6,782,"15 W 56th St, New York, NY 10019, United States",10019,+1 646-437-7272,https://www.felicerestaurants.com/felice-56/
New York city,The Smith,4.4,"6,008","1150 Broadway, New York, NY 10010, United States",10010,+1 212-685-4500,https://thesmithrestaurant.com/location/nomad/
New York city,Risotteria Melotti NYC,4.6,875,"309 E 5th St, New York, NY 10003, United States",10003,+1 646-755-8939,http://www.risotteriamelottinyc.com/
New York city,Buena Vista Restaurant & Bar,4.7,"1,172","536 9th Ave, New York, NY 10018, United States",10018,+1 212-388-5040,http://www.buenavistahellskitchen.com/
New York city,Club A Steakhouse,4.8,"3,456","240 E 58th St, New York, NY 10022, United States",10022,+1 212-688-4190,http://www.clubasteakhouse.com/
New York city,Benoit New York,4.4,"1,132","60 W 55th St, New York, NY 10019, United States",10019,+1 646-943-7373,http://www.benoitny.com/
New York city,Craft New York,4.5,"1,218","43 E 19th St, New York, NY 10003, United States",10003,+1 212-780-0880,http://www.craftrestaurant.com/
New York city,estiatorio Milos Midtown,4.5,"2,259","125 W 55th St, New York, NY 10019, United States",10019,+1 212-245-7400,http://www.estiatoriomilos.com/
New York city,Junoon,4.3,"3,971","19 W 24 St, New York, NY 10010, United States",10010,+1 212-490-2100,https://www.junoonnyc.com/
New York city,Eataly,4.2,"6,087","101 Liberty St, New York, NY 10007, United States",10007,+1 212-897-2895,https://www.eataly.com/us_en/stores/nyc-downtown/restaurants
Yonkers,Rory Dolan's Restaurant & Bar,4.6,"2,513","890 McLean Ave, Yonkers, NY 10704, United States",10704,+1 914-776-2946,http://www.rorydolans.com/
Yonkers,Guapo Mexican and Cuban Cuisine,4.7,"2,251","10 Warburton Ave, Yonkers, NY 10701, United States",10701,+1 914-920-5900,http://www.guaporestaurant.com/
Yonkers,Yard House,4.4,"3,579","237 Market Street, Yonkers, NY 10710, United States",10710,+1 914-375-9273,https://www.yardhouse.com/locations/ny/yonkers/yonkers-westchesters-ridge-hill/8333
Yonkers,La Lanterna Restaurant Wine & Beer Garden,4.6,"1,282","23 Gray Oaks Ave, Yonkers, NY 10710, United States",10710,+1 914-476-3060,http://www.lalanterna.com/
Yonkers,Zuppa,4.7,591,"59 Main St, Yonkers, NY 10701, United States",10701,+1 914-376-6500,https://zupparestaurant.com/
Yonkers,Reno's Trattoria,4.7,376,"33 Lockwood Ave, Yonkers, NY 10701, United States",10701,+1 914-968-7366,
Yonkers,Dia & Noche Restaurant,4.4,"1,953","640 McLean Ave, Yonkers, NY 10705, United States",10705,+1 914-476-2786,https://diaynocherestaurant.com/
Yonkers,Heritage Bar & Restaurant,4.4,982,"960 McLean Ave, Yonkers, NY 10704, United States",10704,+1 914-776-7532,
Yonkers,DeCosta's,4.5,481,"400 Yonkers Ave, Yonkers, NY 10704, United States",10704,+1 914-964-8887,http://www.decostas.com/
Yonkers,La Bella Havana,4.2,771,"35 Main St, Yonkers, NY 10701, United States",10701,+1 914-920-9777,http://www.labellahavana.com/
Yonkers,Casa Fuego Wood Fired Latin Fusion - Restaurant - Cocktails,4.4,911,"Ridge Hill Shopping Mall, 238 Market Street, Yonkers, NY 10710, United States",10710,+1 914-488-6942,http://www.casafuegorestaurant.com/
Yonkers,Gianna's,4.4,"1,057","1034 N Broadway, Yonkers, NY 10701, United States",10701,+1 914-375-0106,http://www.giannasyonkers.com/
Yonkers,Tombolinos Restaurant,4.6,408,"356 Kimball Ave, Yonkers, NY 10704, United States",10704,+1 914-237-1266,https://www.tombolinoristorante.com/
Yonkers,Margarita's Restaurant & Lounge,4.3,217,"332 S Broadway, Yonkers, NY 10705, United States",10705,+1 914-562-9922,https://margaritasrestaurantny.com/
Yonkers,Katie's Cottage,4.5,335,"521 Central Park Ave, Yonkers, NY 10704, United States",10704,+1 914-965-0422,
Yonkers,Off the Hook of Yonkers,4.4,243,"47 N Broadway, Yonkers, NY 10701, United States",10701,+1 914-457-3371,https://offthehookfreshfishandchips.com/
Yonkers,Texas de Brazil - Yonkers,4.6,"2,403","1 Ridge Hill Boulevard, Yonkers, NY 10710, United States",10710,+1 914-768-4623,https://texasdebrazil.com/locations/yonkers/
Yonkers,Aroma Trattoria,4.5,343,"165 Tuckahoe Rd, Yonkers, NY 10710, United States",10710,+1 914-395-0033,http://aromatrattoriayonkersny.com/
Yonkers,Cocina Burger Shop,4.8,208,"634 McLean Ave, Yonkers, NY 10705, United States",10705,+1 914-751-7234,
Yonkers,Chaves,4.6,328,"46 Orchard St, Yonkers, NY 10703, United States",10703,+1 914-969-1458,https://www.treschavesrestaurant.com/
Yonkers,DeCosta's,4.5,481,"400 Yonkers Ave, Yonkers, NY 10704, United States",10704,+1 914-964-8887,http://www.decostas.com/
Yonkers,Chaves,4.6,328,"46 Orchard St, Yonkers, NY 10703, United States",10703,+1 914-969-1458,https://www.treschavesrestaurant.com/
Yonkers,Texas de Brazil - Yonkers,4.6,"2,403","1 Ridge Hill Boulevard, Yonkers, NY 10710, United States",10710,+1 914-768-4623,https://texasdebrazil.com/locations/yonkers/
Yonkers,Seven Brothers Diner,4.4,"1,730","900 Saw Mill River Rd, Yonkers, NY 10710, United States",10710,+1 914-969-8871,http://sevenbrothersdiner.com/
Yonkers,McKeon's Bar and Restaurant,4.7,286,"996 McLean Ave, Yonkers, NY 10704, United States",10704,+1 914-530-2386,http://www.mckeonspub.com/
Yonkers,Katie's Cottage,4.5,335,"521 Central Park Ave, Yonkers, NY 10704, United States",10704,+1 914-965-0422,
Yonkers,Cocina Burger Shop,4.8,208,"634 McLean Ave, Yonkers, NY 10705, United States",10705,+1 914-751-7234,
Yonkers,Pizza Barn,4.5,"2,492","471 Central Park Ave, Yonkers, NY 10704, United States",10704,+1 914-378-1400,https://www.pizzabarnshop.com/
Yonkers,Dom & Vinnies Restaurant,4.4,503,"351 Saw Mill River Rd, Yonkers, NY 10701, United States",10701,+1 914-476-6666,https://www.domnvinnie.com/
Yonkers,Don Jose Mexican Restaurant,4.6,356,"2141 Central Park Ave, Yonkers, NY 10710, United States",10710,+1 914-881-1303,https://www.donjosemexicanrestaurantyonkers.com/
Yonkers,Aroma Trattoria,4.5,343,"165 Tuckahoe Rd, Yonkers, NY 10710, United States",10710,+1 914-395-0033,http://aromatrattoriayonkersny.com/
Yonkers,NUBES Cafe,4.6,27,"473 S Broadway, Yonkers, NY 10705, United States",10705,+1 914-207-8131,https://www.getsauce.com/order/site/nubes-cafe/
Yonkers,Lusitania,4.5,411,"15 Lockwood Ave, Yonkers, NY 10701, United States",10701,+1 914-969-4600,
Yonkers,Francey Brady's,4.4,439,"72 Main St, Yonkers, NY 10701, United States",10701,+1 914-226-8644,http://www.franceybradys.com/
Yonkers,Abys Authentic Kerala kitchen,4.6,160,"251 McLean Ave, Yonkers, NY 10705, United States",10705,+1 914-623-7640,https://www.abysauthentickeralakitchen.com/
Yonkers,Olive Garden Italian Restaurant,4.2,"4,768","9025 Xavier Dr, Yonkers, NY 10704, United States",10704,+1 914-375-4505,https://www.olivegarden.com/locations/ny/yonkers/yonkers-ny/4478
Yonkers,Banquetes Doa Cheli,4.6,309,"34 Park Hill Ave, Yonkers, NY 10701, United States",10701,+1 914-219-4360,https://www.banquetesdonacheli.com/
Yonkers,Wicked Wolf North,4.3,163,"2 Scarsdale Rd, Yonkers, NY 10707, United States",10707,+1 914-771-7661,http://www.thewolfnorth.com/
Yonkers,La Cantina,4.7,59,"38 Main St, Yonkers, NY 10701, United States",10701,+1 914-258-9522,https://www.lacantinayonkers.com/
Yonkers,Louie & Johnnie's Ristorante Primavera,4.5,"1,079","887 Yonkers Ave, Yonkers, NY 10704, United States",10704,+1 914-423-3300,https://www.louieandjohnnies.com/
buffalo,Mothers Restaurant,4.5,"1,494","33 Virginia Pl, Buffalo, NY 14202, United States",14202,+1 716-882-2989,https://www.mothersbuffalo.com/
buffalo,Vice Restaurant,4.7,"3,278","500 Pearl St, Buffalo, NY 14202, United States",14202,+1 716-707-1686,https://www.vicebuffalo.com/
buffalo,Tappo Restaurant,4.4,"1,882","338 Ellicott St, Buffalo, NY 14203, United States",14203,+1 716-259-8130,http://tappoitalian.com/
buffalo,Chef's Restaurant,4.5,"3,631","291 Seneca St, Buffalo, NY 14204, United States",14204,+1 716-856-9187,http://www.ilovechefs.com/
buffalo,Osteria 166,4.5,874,"166 Franklin St, Buffalo, NY 14202, United States",14202,+1 716-858-3118,http://osteriabuffalo.com/
buffalo,Buffalo Chophouse,4.5,"1,405","282 Franklin St, Buffalo, NY 14202, United States",14202,+1 716-842-6900,http://www.buffalochophouse.com/
buffalo,Lombardo,4.7,742,"1198 Hertel Ave, Buffalo, NY 14216, United States",14216,+1 716-873-4291,http://ristorantelombardo.com/
buffalo,The Left Bank,4.5,"1,080","511 Rhode Island St, Buffalo, NY 14213, United States",14213,+1 716-882-3509,http://leftbankrestaurant.com/
buffalo,Jack Rabbit,4.6,975,"1010 Elmwood Ave, Buffalo, NY 14222, United States",14222,+1 716-381-9596,https://jackrabbitbuffalo.com/
buffalo,Bacchus Wine Bar & Restaurant,4.6,725,"56 W Chippewa St, Buffalo, NY 14202, United States",14202,+1 716-854-9463,https://bacchuswine.bar/
buffalo,The Salty Chefs,4.9,243,"111 Genesee St #103, Buffalo, NY 14203, United States",14203,+1 716-799-9208,http://thesaltychefs.com/
buffalo,Hutch's,4.5,824,"1375 Delaware Ave, Buffalo, NY 14209, United States",14209,+1 716-885-0074,http://www.hutchsrestaurant.com/
buffalo,Fat Bob's Smokehouse,4.5,"2,737","41 Virginia Pl, Buffalo, NY 14202, United States",14202,+1 716-887-2971,https://www.fatbobs.com/
buffalo,Iron Tail Tavern,4.5,208,"802 Elmwood Ave, Buffalo, NY 14222, United States",14222,+1 716-815-2345,https://irontailtavern.com/
buffalo,Bella Ciao,4.6,517,"200 Delaware Ave, Buffalo, NY 14202, United States",14202,+1 716-319-1083,http://bellaciaobuffalo.com/
buffalo,Betty's,4.4,"1,723","370 Virginia St, Buffalo, NY 14201, United States",14201,+1 716-362-0633,http://www.bettysbuffalo.com/
buffalo,Coco Bar & Bistro,4.5,644,"888 Main St, Buffalo, NY 14202, United States",14202,+1 716-885-1885,https://www.cocobuffalo.com/
buffalo,Billy Club,4.7,437,"228 Allen St, Buffalo, NY 14201, United States",14201,+1 716-331-3047,http://billyclubbuffalo.com/
buffalo,The Dapper Goose,4.6,576,"491 Amherst St, Buffalo, NY 14207, United States",14207,+1 716-551-0716,http://www.thedappergoose.com/
buffalo,Roost,4.5,596,"1502 Niagara St Apt 302, Buffalo, NY 14213, United States",14213,+1 716-259-9306,https://www.roostwny.com/
buffalo,Marble & Rye,4.5,468,"112 Genesee St, Buffalo, NY 14203, United States",14203,+1 716-853-1390,http://marbleandrye.net/
buffalo,The Dapper Goose,4.6,576,"491 Amherst St, Buffalo, NY 14207, United States",14207,+1 716-551-0716,http://www.thedappergoose.com/
buffalo,Angeline,4.6,414,"581 Delaware Ave, Buffalo, NY 14202, United States",14202,+1 716-657-2581,https://angelinebuffalo.com/
buffalo,Roost,4.5,596,"1502 Niagara St Apt 302, Buffalo, NY 14213, United States",14213,+1 716-259-9306,https://www.roostwny.com/
buffalo,Gabriel's Gate,4.2,"3,605","145 Allen St, Buffalo, NY 14201, United States",14201,+1 716-886-0602,https://rebrand.ly/gabriels-gate
buffalo,The Place,4.5,968,"229 Lexington Ave, Buffalo, NY 14222, United States",14222,+1 716-882-7522,http://theplacebuffalo.com/
buffalo,Allen Burger Venture,4.6,"2,185","175 Allen St, Buffalo, NY 14201, United States",14201,+1 716-768-0386,http://allenburgerventure.com/
buffalo,Coco Bar & Bistro,4.5,644,"888 Main St, Buffalo, NY 14202, United States",14202,+1 716-885-1885,https://www.cocobuffalo.com/
buffalo,Mythos Restaurant,4.5,"1,104","510 Elmwood Ave, Buffalo, NY 14222, United States",14222,+1 716-886-9175,https://mythosbuffalo.com/
buffalo,Panorama on Seven,4.4,672,"95 Main St, Buffalo, NY 14203, United States",14203,+1 716-852-0049,https://www.panoramaonseven.com/
buffalo,Taste of Asia,4.8,391,"494 Elmwood Ave, Buffalo, NY 14222, United States",14222,+1 716-783-9666,http://www.tasteofasiawny.com/
buffalo,Daniela,4.8,496,"387 Forest Ave, Buffalo, NY 14213, United States",14213,+1 716-235-8598,https://app.upserve.com/s/daniela-buffalo
buffalo,DITONDO,4.6,311,"370 Seneca St, Buffalo, NY 14204, United States",14204,,https://www.ditondo1904.com/
buffalo,Kostas Family Restaurant,4.5,"2,785","1561 Hertel Ave, Buffalo, NY 14216, United States",14216,+1 716-838-5225,https://kostasfamilyrestaurant.com/
buffalo,Cole's,4.4,"1,232","1104 Elmwood Ave, Buffalo, NY 14222, United States",14222,+1 716-886-1449,http://coles-buffalo.com/
buffalo,Hutch's,4.5,824,"1375 Delaware Ave, Buffalo, NY 14209, United States",14209,+1 716-885-0074,http://www.hutchsrestaurant.com/
buffalo,San Marco,4.7,405,"2082 Kensington Ave, Buffalo, NY 14226, United States",14226,+1 716-839-5876,http://www.sanmarcobuffalony.com/
buffalo,Augies,4.5,"1,226","346 Connecticut St, Buffalo, NY 14213, United States",14213,+1 716-919-1100,http://www.getaugies.com/
buffalo,Ballyhoo,4.5,"1,154","211 South Park Ave, Buffalo, NY 14204, United States",14204,+1 716-240-9901,http://buffaloballyhoo.com/
buffalo,Oliver's Restaurant,4.5,473,"2095 Delaware Ave, Buffalo, NY 14216, United States",14216,+1 716-877-9662,https://oliverscuisine.com/
